자치구(구),날짜,1hr 최대 강수량(mm),일평균 강수량(mm),경사도(˚),해발고도(m),불투수면(%),녹지 면적율(%),하천 면적율(%),복개하천 개수(개),맨홀 개수(개),빗물받이 개수(개),빗물 펌프 개수(개),[AVG] 하수관로 비율(%),[MAX] 하수관로 비율(%),침수 피해(0/1)
성동,20200731,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.22305741029060228,-0.1289222274862542,0
성동,20200801,2.6463081371768142,1.0828311867492497,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,0.6685057777079191,0.5279243411124453,1
성동,20200802,0.6633977065986436,0.7118245431086981,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,1.4020227456731358,0.5279243411124453,1
성동,20200803,1.925249798784752,2.5450338410973057,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,1.6340463805327603,0.5279243411124453,1
성동,20200804,0.0024275630725866617,-0.05201266438655497,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,1.3854960322007148,0.5279243411124453,1
성동,20200805,0.30286853740261255,0.16622653775494592,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,1.3497026036198425,1.8739214079130593,1
성동,20200806,2.6463081371768142,3.5271102507340597,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,1.132276442831898,0.5279243411124453,1
성동,20200807,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.4230971493298014,-0.17199413362387386,0
성동,20200808,0.5432213168666333,0.38446573989644683,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.08586233661696063,0.5279243411124453,1
성동,20200809,1.925249798784752,2.3267946389558047,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,1.3900897314312481,0.5279243411124453,1
성동,20200810,4.208601203692949,3.9635886550170616,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,1.4479230301086812,0.5279243411124453,1
성동,20200811,2.8265727217748298,3.8108212135180106,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,0.6422892662552395,0.5279243411124453,1
성동,20200812,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.3646497446007455,-0.16302081984520309,0
성동,20200813,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.20859616394056743,-0.1253329019747859,0
성동,20200814,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.14132452117387828,-0.1289222274862542,0
성동,20200815,1.925249798784752,1.955787995315253,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,1.3113386773898916,0.5279243411124453,1
성동,20200816,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.1253538173204331,0.5279243411124453,1
성동,20200817,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.1821214134544386,-0.1253329019747859,0
성동,20200818,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.20375721627611432,-0.1289222274862542,0
성동,20200819,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.21481650847256542,-0.13251155299772252,0
성동,20200820,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,0.029761546729787217,0.5279243411124453,1
성동,20200821,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.09524878474768336,0.5279243411124453,1
성동,20200822,1.865161603918747,1.2355986282483002,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,0.546471909665505,0.5279243411124453,1
성동,20200823,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.10540002888797408,0.5279243411124453,1
성동,20200824,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.21449723969886536,-0.1289222274862542,0
성동,20200825,-0.4181898009894496,-0.3575475473846562,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.22521058098495378,-0.1289222274862542,0
성동,20200826,-0.3581016061234444,-0.33572362717050613,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,-0.23111737885236538,-0.1361008785091908,0
성동,20200827,-0.11774882665942368,-0.05201266438655497,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,0.397618325193422,0.5279243411124453,1
성동,20200828,0.06251575793859183,-0.008364823958254792,-0.7547456168693416,-0.8518784702386547,0.9626897119888365,-0.33496440902271996,1.6164138162738457,0.6063699187554584,-1.1978961945439184,-0.7768291377968013,-0.6323195437279672,1.3157525744980572,0.5279243411124453,1
