자치구,날짜,[AVG] 하수관로 비율(%),[MAX] 하수관로 비율(%),사고[건]
강동,20200724,0.2672473662981716,-0.10814695684148858,0.34528161297671417
강동,20200725,0.061018717605672915,-0.12838861704350574,-0.36043927020683025
강동,20200726,-0.12804732318162468,-0.14638120388974327,0.6981420545684863
강동,20200727,0.07486875974408136,-0.16437379073598074,0.6981420545684863
강동,20200728,0.016902279928255885,-0.18011730422643857,-0.7132997117986024
강동,20200729,0.5117712803504836,-0.0046895824756228895,-1.4190205949821468
강동,20200730,0.06531046726209513,-0.12389047033194635,-0.36043927020683025
강동,20200731,-0.1526697635324139,-0.1778682308706589,-0.36043927020683025
강동,20200801,0.3390388228931362,-0.027180316033419787,-0.7132997117986024
강동,20200802,0.4806560903519672,-0.054169196302776064,0.34528161297671417
강동,20200803,0.7132085885737255,0.04254095799575055,-1.0661601533903746
강동,20200804,0.46835570311517,0.21122145967922715,-0.36043927020683025
강동,20200805,0.5226279687541676,0.26969736692949897,-1.0661601533903746
강동,20200806,2.647171712207659,0.4181362084109584,-0.007578828615058046
강동,20200807,0.5682366776100937,0.23371219323702405,-0.7132997117986024
강동,20200808,0.2721662705028122,-0.06766363643745416,0.6981420545684863
강동,20200809,0.7938705312862652,0.053786324774648946,-0.36043927020683025
강동,20200810,0.4066571491372198,0.0088048576590552,-1.4190205949821468
강동,20200811,0.9442858712376572,0.01105393101483489,0.6981420545684863
강동,20200812,0.24944427534702918,-0.11039603019726826,-0.36043927020683025
강동,20200813,0.1031119944399054,-0.11939232362038697,-0.7132997117986024
강동,20200814,-0.05604828862299375,-0.14413213053396357,0.34528161297671417
강동,20200815,0.5478731646169288,0.044790031351530236,-0.7132997117986024
강동,20200816,0.13090206353944628,-0.11939232362038697,-0.007578828615058046
강동,20200817,-0.04270776963937188,-0.1328867637550651,-0.36043927020683025
강동,20200818,-0.06502552912188321,-0.1328867637550651,-0.36043927020683025
강동,20200819,-0.09555404734770886,-0.1373849104666245,0.34528161297671417
강동,20200820,-0.16148622715647254,-0.1778682308706589,0.34528161297671417
강동,20200821,-0.023123870647605058,-0.09915066341836981,-0.7132997117986024
강동,20200822,0.3940395157136635,0.26969736692949897,-0.36043927020683025
강동,20200823,0.3166987538937218,-0.10814695684148858,-0.007578828615058046
강동,20200824,0.07661535841739008,-0.11039603019726826,-0.36043927020683025
강동,20200825,-0.04985478154487408,-0.0811580765721323,-0.36043927020683025
강동,20200826,-0.04387721808347176,-0.09915066341836981,-0.36043927020683025
강동,20200827,-0.06439160887254966,-0.10589788348570889,-0.7132997117986024
강동,20200828,0.08766103740134265,-0.11939232362038697,-0.7132997117986024
강동,20200829,0.30828784648538476,-0.058667343014335446,-0.36043927020683025
강동,20200830,0.35284592578095625,0.09876779189024275,-0.36043927020683025
강동,20200831,0.24903517329188357,-0.12164139697616666,1.0510024961602586
종로,20210601,-0.6256934958911663,-0.28458446664795284,-1.0661601533903746
종로,20210602,-0.6549502402645545,-0.2990682950232392,-1.0661601533903746
종로,20210603,-0.6012347628885033,-0.20747337990704087,-0.36043927020683025
종로,20210604,-0.5961204483380328,-0.2990682950232392,-0.7132997117986024
종로,20210605,-0.5938210147133683,-0.3029442490853622,-0.7132997117986024
종로,20210606,-0.5852348892839898,-0.3029442490853622,-1.0661601533903746
종로,20210607,-0.5876261954085574,-0.3090641765944864,-1.0661601533903746
종로,20210608,-0.47149366089921996,-0.3090641765944864,-0.007578828615058046
종로,20210609,-0.49619550676477,-0.2990682950232392,-0.7132997117986024
종로,20210610,-0.6115011887749767,-0.21481729352973775,-0.36043927020683025
종로,20210611,-0.5987027175407852,-0.2809125101064932,-0.36043927020683025
종로,20210612,-0.6823026010997113,-0.3029442490853622,-0.7132997117986024
종로,20210613,-0.7009369352704723,-0.3066162056268219,-1.0661601533903746
종로,20210614,-0.7294272028777402,-0.3066162056268219,-0.7132997117986024
종로,20210615,-0.7411980160028567,-0.3029442490853622,-0.7132997117986024
종로,20210616,-0.7442514594084989,-0.3029442490853622,-0.7132997117986024
종로,20210617,-0.593103098650582,-0.3066162056268219,-1.0661601533903746
종로,20210618,-0.6892199317554552,-0.2992722926338655,-1.0661601533903746
종로,20210619,-0.6783223597566834,-0.3029442490853622,-0.36043927020683025
종로,20210620,-0.6682290729516264,-0.3029442490853622,-1.4190205949821468
종로,20210621,-0.6608976607645475,-0.3029442490853622,0.34528161297671417
종로,20210622,-0.6485565811951085,-0.3029442490853622,-0.36043927020683025
종로,20210623,-0.656083550085367,0.13034661794887725,-0.7132997117986024
종로,20210624,-0.44322126450148946,-0.3090641765944864,0.34528161297671417
종로,20210625,-0.41714658337045657,-0.3090641765944864,-0.007578828615058046
종로,20210626,-0.44721358198901046,-0.3090641765944864,-0.36043927020683025
종로,20210627,-0.2094317722556424,0.2919127041537687,-0.7132997117986024
종로,20210628,-0.18400807364723265,-0.3090641765944864,-0.7132997117986024
종로,20210629,-0.16954550271665483,-0.1046585981855778,-0.7132997117986024
종로,20210630,0.3262528286229971,-0.20747337990704087,0.34528161297671417
종로,20210701,-0.008999155679651724,-0.3090641765944864,-0.36043927020683025
종로,20210702,-0.16420102959188793,-0.3090641765944864,-0.7132997117986024
종로,20210703,-0.1692833035248597,-0.038563380979081845,-1.0661601533903746
종로,20210704,-0.12367910014688877,-0.2111453367183893,-1.0661601533903746
종로,20210705,-0.20716252483433156,-0.2990682950232392,-0.36043927020683025
종로,20210706,-0.21791290125505364,-0.2990682950232392,-0.007578828615058046
종로,20210707,-0.20763894960713805,0.020187922604717256,-0.007578828615058046
종로,20210708,-0.14421357182959138,-0.28825642309944954,-0.7132997117986024
종로,20210709,-0.19362513692083888,-0.3090641765944864,-0.36043927020683025
종로,20210710,-0.22694657581742478,-0.3090641765944864,-0.7132997117986024
종로,20210711,-0.19767736279574233,-0.30406623585384424,-1.0661601533903746
종로,20210712,-0.18660084066351487,-0.3090641765944864,-0.36043927020683025
종로,20210713,0.2609965603176865,-0.3090641765944864,-0.007578828615058046
종로,20210714,0.16200937851466352,-0.30406623585384424,-0.7132997117986024
종로,20210715,-0.19421049480368643,-0.3090641765944864,-1.4190205949821468
종로,20210716,-0.27835439528365546,-0.3090641765944864,-0.7132997117986024
종로,20210717,-0.3089970988525907,-0.3090641765944864,-1.0661601533903746
종로,20210718,-0.30351166530549717,-0.30406623585384424,0.34528161297671417
종로,20210719,0.13164360300897815,0.655436396990238,-0.7132997117986024
종로,20210720,0.07295293372215447,-0.2940703542825971,-0.7132997117986024
종로,20210721,-0.12082156436943477,-0.2990682950232392,-1.0661601533903746
종로,20210722,0.2305907544137358,-0.2990682950232392,0.6981420545684863
종로,20210723,0.36384715869888024,-0.2990682950232392,-1.0661601533903746
종로,20210724,0.2672473662981716,-0.3090641765944864,-0.7132997117986024
종로,20210725,0.061018717605672915,-0.3090641765944864,-1.4190205949821468
종로,20210726,-0.12804732318162468,-0.30406623585384424,-1.0661601533903746
종로,20210727,0.07486875974408136,-0.30406623585384424,-0.36043927020683025
종로,20210728,0.016902279928255885,-0.2990682950232392,-0.36043927020683025
종로,20210729,0.5117712803504836,-0.30406623585384424,-0.7132997117986024
종로,20210730,0.06531046726209513,-0.3090641765944864,-0.7132997117986024
종로,20210731,-0.1526697635324139,-0.2809125101064932,-0.36043927020683025
종로,20210801,0.3390388228931362,-0.038563380979081845,-1.0661601533903746
종로,20210802,0.4806560903519672,-0.2990682950232392,-1.0661601533903746
종로,20210803,0.7132085885737255,-0.2990682950232392,-1.0661601533903746
종로,20210804,0.46835570311517,-0.30406623585384424,-0.7132997117986024
종로,20210805,0.5226279687541676,-0.30406623585384424,-0.007578828615058046
종로,20210806,2.647171712207659,-0.30406623585384424,-0.36043927020683025
종로,20210807,0.5682366776100937,-0.3090641765944864,0.6981420545684863
종로,20210808,0.2721662705028122,-0.18911359764955732,-0.36043927020683025
종로,20210809,0.7938705312862652,-0.3090641765944864,-0.36043927020683025
종로,20210810,0.4066571491372198,-0.3090641765944864,-1.0661601533903746
종로,20210811,0.9442858712376572,-0.3090641765944864,0.6981420545684863
종로,20210812,0.24944427534702918,-0.3090641765944864,-1.0661601533903746
종로,20210813,0.1031119944399054,-0.31763207516123787,-0.36043927020683025
종로,20210814,-0.05604828862299375,-0.31763207516123787,-0.36043927020683025
종로,20210815,0.5478731646169288,-0.31763207516123787,-1.4190205949821468
종로,20210816,0.13090206353944628,-0.31763207516123787,-1.4190205949821468
종로,20210817,-0.04270776963937188,-0.2735685971135368,-0.7132997117986024
종로,20210818,-0.06502552912188321,-0.31028816216828153,-0.7132997117986024
종로,20210819,-0.09555404734770886,-0.31763207516123787,-0.007578828615058046
종로,20210820,-0.16148622715647254,-0.3090641765944864,-0.7132997117986024
종로,20210821,-0.023123870647605058,0.3873835731521642,-1.0661601533903746
종로,20210822,0.3940395157136635,-0.2990682950232392,-1.4190205949821468
종로,20210823,0.3166987538937218,-0.3090641765944864,-0.007578828615058046
종로,20210824,0.07661535841739008,-0.25888077076777244,-1.4190205949821468
종로,20210825,-0.04985478154487408,-0.30406623585384424,-1.4190205949821468
종로,20210826,-0.04387721808347176,-0.30406623585384424,-0.7132997117986024
종로,20210827,-0.06439160887254966,-0.3090641765944864,-1.0661601533903746
종로,20210828,0.08766103740134265,-0.3090641765944864,-0.007578828615058046
종로,20210829,0.30828784648538476,-0.3090641765944864,-1.0661601533903746
종로,20210830,0.35284592578095625,-0.3090641765944864,-0.7132997117986024
종로,20210831,0.24903517329188357,-0.06426707685926226,-0.7132997117986024
중,20210601,-0.00647352677119191,0.430631060487471,-0.007578828615058046
중,20210602,-0.03061489217702165,0.4006434160436183,-1.0661601533903746
중,20210603,0.07163043873232455,-0.07416095926534451,-1.0661601533903746
중,20210604,0.007190154229785785,-0.13413624905267932,-0.007578828615058046
중,20210605,-0.0035903884364693823,-0.14413213053396357,-0.36043927020683025
중,20210606,-0.050279266090092284,0.3906475336627047,-1.4190205949821468
중,20210607,-0.009033275236775566,-0.1191424263809383,-0.7132997117986024
중,20210608,-0.006692542229098821,-0.1291383078622225,-1.0661601533903746
중,20210609,-0.03544607344524996,-0.1291383078622225,-0.36043927020683025
중,20210610,-0.00545972271577694,-0.08415684074662876,-0.007578828615058046
중,20210611,0.03721586011793419,-0.1191424263809383,0.34528161297671417
중,20210612,-0.021164699566074845,0.21072166520032973,-1.0661601533903746
중,20210613,-0.03587982839804333,0.39564547485316154,-0.7132997117986024
중,20210614,-0.03128733933548358,-0.1191424263809383,0.34528161297671417
중,20210615,0.05724297905881861,-0.12414036757139507,-0.36043927020683025
중,20210616,0.022453677398071442,-0.08915478193708556,-0.36043927020683025
중,20210617,0.023930226803561147,-0.1191424263809383,-0.007578828615058046
중,20210618,0.06581967441805867,-0.1291383078622225,-1.0661601533903746
중,20210619,0.012439691329218102,-0.11414448609011082,-1.0661601533903746
중,20210620,-0.04704279283987417,-0.094152722227913,-0.7132997117986024
중,20210621,0.04912228164320654,-0.059167137493232824,-1.0661601533903746
중,20210622,0.04690389007457569,-0.054169196302776064,-0.36043927020683025
중,20210623,0.07120181792882871,0.16574019808473592,-0.7132997117986024
중,20210624,0.04752500571897154,-0.06916301897451707,-0.36043927020683025
중,20210625,0.07916680775599112,-0.1191424263809383,-1.0661601533903746
중,20210626,0.06402648088672523,-0.12414036757139507,-0.36043927020683025
중,20210627,0.09494364939124247,0.3656578304093088,-1.4190205949821468
중,20210628,-0.0025423633716770205,-0.1291383078622225,-1.0661601533903746
중,20210629,0.034233479858125845,0.16574019808473592,-1.0661601533903746
중,20210630,0.051919010931359894,-0.07915890045580132,-0.7132997117986024
중,20210701,0.03384079144710672,-0.13413624905267932,-0.007578828615058046
중,20210702,0.022447688388800055,-0.1291383078622225,1.0510024961602586
중,20210703,0.37073681451033746,-0.03417743334020757,-1.0661601533903746
중,20210704,0.21157472692784393,-0.08415684074662876,-1.4190205949821468
중,20210705,0.09984840849067539,-0.13413624905267932,-0.36043927020683025
중,20210706,0.06594030281085363,-0.13913418934350677,0.6981420545684863
중,20210707,0.0685325609027158,0.3906475336627047,-0.7132997117986024
중,20210708,0.07442460177740495,-0.08915478193708556,-1.0661601533903746
중,20210709,0.033788603409915165,-0.13413624905267932,0.34528161297671417
중,20210710,0.02060487638965124,-0.12414036757139507,-0.36043927020683025
중,20210711,0.026943503432498787,-0.1191424263809383,-1.4190205949821468
중,20210712,0.03925972221032736,-0.12414036757139507,-0.7132997117986024
중,20210713,0.02726774816161106,-0.1191424263809383,-0.36043927020683025
중,20210714,-0.00022387501798649736,-0.12414036757139507,-1.0661601533903746
중,20210715,-0.026327398525799448,0.4056413563344458,-1.0661601533903746
중,20210716,-0.025850441544448786,-0.12414036757139507,-1.4190205949821468
중,20210717,-0.021956065397384476,-0.1191424263809383,-0.7132997117986024
중,20210718,-0.034069526025172804,-0.1291383078622225,-1.0661601533903746
중,20210719,0.16554803312354296,0.4456248831592121,-0.7132997117986024
중,20210720,0.030519620533418765,-0.11414448609011082,-0.007578828615058046
중,20210721,0.028517679842773473,-0.11414448609011082,-0.7132997117986024
중,20210722,-0.011074571086096005,-0.11414448609011082,-1.0661601533903746
중,20210723,-0.02878573964278417,-0.12414036757139507,-0.7132997117986024
중,20210724,-0.10250770456288238,-0.1541280120152478,-1.0661601533903746
중,20210725,-0.12231409666276057,-0.1541280120152478,-1.0661601533903746
중,20210726,-0.09198210974701085,-0.14913007172442033,-0.36043927020683025
중,20210727,-0.12650534039880523,-0.14913007172442033,-0.36043927020683025
중,20210728,-0.10354974061840336,-0.1541280120152478,-1.4190205949821468
중,20210729,-0.11061385771687848,-0.1591259532057046,-0.36043927020683025
중,20210730,-0.11402657016328177,-0.1541280120152478,-0.7132997117986024
중,20210731,-0.04173764660020348,0.03079579673795467,-0.36043927020683025
중,20210801,-0.02135633954700122,-0.06416507778406026,-0.7132997117986024
중,20210802,-0.007153674322024562,-0.17411977497781628,-1.4190205949821468
중,20210803,-0.02525755956331078,-0.1541280120152478,-0.007578828615058046
중,20210804,-0.03253898073659372,-0.14913007172442033,-0.36043927020683025
중,20210805,-0.029423994065447642,-0.14913007172442033,-1.0661601533903746
중,20210806,-0.03396258370771651,-0.1541280120152478,-1.4190205949821468
중,20210807,-0.06259805277414565,-0.1541280120152478,-1.0661601533903746
중,20210808,-0.09492513651129564,-0.13913418934350677,-1.0661601533903746
중,20210809,-0.12628033593162694,-0.1541280120152478,-1.4190205949821468
중,20210810,-0.08791748341303252,-0.16412389349653206,-0.36043927020683025
중,20210811,-0.040342169187477864,-0.1591259532057046,-1.0661601533903746
중,20210812,0.05320487334184719,0.18873072612143024,-1.0661601533903746
중,20210813,0.006296125370343749,-0.13413624905267932,-0.36043927020683025
중,20210814,0.00856156916371702,-0.14913007172442033,-1.4190205949821468
중,20210815,-0.03774060742500654,-0.14413213053396357,-0.7132997117986024
중,20210816,-0.028298970066404083,-0.14413213053396357,-0.36043927020683025
